TopicID,TopicName,ParentID
949,Economics Of Information,90603
950,Muscle,10301
951,Computer Modeling,20603
954,Optical Fiber Communication,40202
956,Visible Light Communications,40301
957,Optical,40201
960,Cell Signaling,10304
961,Cancer Biology,10401
962,Cyber-Physical Systems,40504
963,Emergency Medicine,10104
964,Pediatric Trauma,10102
965,Machine Learning,20101
967,Electronic Structure,30301
971,Wash,60302
972,Social Equity In Stem,90303
974,Rural Development,90403
976,Investment Management,90602
978,Asset Management,90602
984,Photodetector,40201
987,Chromatography,70102
988,Econometrics,90603
989,Theory Of Computation,20302
990,Industrial Organization,90604
995,Software-Defined Networking,20401
999,Material Thermophysics,50203
1003,Human-Technology Interaction,20501
1005,Biofabrication,10303
1011,Bayesian Theory,90103
1012,Decision Theory,80104
1013,Forecasting Theory,80104
1019,III-Nitride,40101
1021,Ethics,90402
1022,Environmental Sustainability,60304
1025,Integrated Antennas,40301
1033,Secure Computation,20402
1034,Flipping Frenemies,20702
1035,Internet Of Things,20204
1045,Reinforcement Learning,20101
1048,Trauma,10102
1050,Life Saving Techniques,10104
1059,Formal Methods,20302
1061,Lean,80301
1071,Generative Modeling,20102
1073,Industrial Ecology,70302
1074,Mechanical Engineering,50101
1077,Collaborative Learning,20702
1078,Inclusive Teaching,90303
1079,Alternative Grading,90302
1080,Mechanobiology,10304
1081,Vascular Biology,10401
1085,Geophysical Mass Flows,60403
1088,Immunotherapy,10403
1089,Autonomy,40503
1094,Transportation Engineering,60201
1095,Operations,80301
1096,Information Technology,20203
1097,Computer-Aided Design,50404
1100,Stochastic Approximation,80102
1101,Systems Engineering,80201
1103,Electrochemistry,70301
1105,Inhibitors,70101
1107,Predictive Modeling,20101
1109,Space-Time Modeling,90104
1111,Polymers And Soft Matter,30401
1112,Advanced (Bio)Manufacturing,30102
1113,Intelligent Built Environments,60503
1115,Behavioral Modeling,80401
1123,Microfluidics,10103
1124,Dielectrophoresis,40101
1125,Bioimpedance,10101
1127,Cytometry,10101
1128,Nano-Bio-Info-Cogno Convergence,90403
1129,Technology Studies,90401
1130,Science Fiction,90401
1132,Heat Transport,50202
1133,Thermoelectrics,40402
1134,Rapid Prototyping,50403
1137,Labor,90604
1138,Culture,90401
1139,Information Theory,20403
1140,Coding Theory,20403
1142,Flexible Electronics,40102
1145,Human-Robot Collaboration,80404
1148,Thin Films,30103
1149,Epitaxy,30103
1150,Ion Conductors,30304
1151,Angiogenesis,10401
1152,Agent-Based Modeling,80103
1154,Microcirculation,10401
1155,Heterogeneous Catalysis,70101
1162,Materials,30101
1166,Signal Processing,40302
1167,Communications,40304
1168,Data Science,20601
1169,Tensor Decomposition,90102
1170,Surveillance,20404
1173,Engineering Studies,90301
1176,Silicene And Graphene,40102
1179,American Math Soc,90101
1183,Drug Discovery,10201
1186,Occupant Protection,80402
1188,Cyberinfrastructure,20203
1190,Parallel Computing,20202
1194,Soot,50204
1198,Scalable Computing,20202
1201,Health Informatics,90503
1202,Health Equity,90502
1204,Gene Therapy,10201
1209,Edge Computing,20203
1210,Bone,10301
1212,Skeletal Development And Evolution,10301
1217,Data Provenance,20303
1218,Intrusion Detection,20402
1219,Forensics,90503
1224,Remote Sensing,60301
1225,Materials Physics,90201
1228,Deliberative Democracy,90402
1229,Tech Ethics,90402
1231,Conflict Resolution,90402
1233,Single-Cell Biology,10304
1237,Electroconvection,50201
1238,Nanoscience,30104
1240,Engineering Pedagogy,90302
1241,Materials For Extreme Environments,30503
1242,GW-BSE Method,90203
1243,Data-Driven Decision-Making,90601
1244,Infectious Diseases Modeling,90504
1254,Multimodal Displays,20501
1255,Tactile,20501
1256,Eye Tracking,20501
1257,Virtual Reality/Augmented Reality/Mixed Reality,20502
1258,Precision Health,90501
1260,Cancer Screening,10104
1267,Sub-Threshold,40103
1270,Water Quality,60302
1272,Groundwater,60301
1273,Catalysis,70101
1275,Socialization,90303
1276,Sense Of Belonging,90303
1278,Identity,90303
1280,Low Power,40103
1283,Electrochemical Materials Science,30304
1284,Electrodeposition,30103
1285,Photoelectrochemistry,30304
1286,Functional Materials,303
1290,Image Processing,20103
1291,Engineering,90301
1292,Medicine,10104
1300,Multibody Mechanics,50504
1302,Corrosion Science,30504
1303,Service Life Prediction,30504
1305,Phase Transformations,30501
1308,Cell Motility,10304
1310,Computer Architecture,20201
1314,Heterogeneous Computing,20201
1319,Cultural Anthropology,90401
1323,Resuscitation,10104
1324,Shock,50103
1327,Diabetes Technology,10104
1332,Magnetic Resonance Imaging,10101
